Speaker,Timestamp,Context
SPEAKER_00,0.289, Have you read the Bhagavad Gita?
SPEAKER_00,1.87,Yes.
SPEAKER_00,2.491,Okay.
SPEAKER_00,3.291,What's in that book?
SPEAKER_00,4.052,Why do people say that?
SPEAKER_00,5.273,You open any page of it and you'll get your answer.
SPEAKER_00,7.254,Why do people say things like that?
SPEAKER_00,8.815,"Sure, sure."
SPEAKER_01,10.196,I think the first thing to know is let's remove the religion aspect from the Bhagavad Gita totally.
SPEAKER_01,16.141,Bhagavad Gita is not a religious book.
SPEAKER_01,18.883,It is a book which gives you the way to live.
SPEAKER_01,23.986," And the setting for the Bhagavad Gita is the battlefield of Kurukshetra, the Mahabharata, where Arjuna is confused and Krishna becomes his mentor and gives him guidance in a way that he can now start doing what is meant to do right."
SPEAKER_01,39.473,So every young man
SPEAKER_01,41.744, all lady is going to have confusions.
SPEAKER_01,45.586,"Every young person is going to have those dilemmas, to do or not to do, to be or not to be."
SPEAKER_01,51.708,That's exactly how the Gita begins.
SPEAKER_01,54.229,"It begins with confusion, it begins with dilemmas, it begins with a lack of meaning."
SPEAKER_01,61.052,And then Krishna kind of guides Arjun through
SPEAKER_01,65.134, and empowers Arjuna to make his own choices.
SPEAKER_01,69.237,Krishna only acts as a facilitator and empowers Arjuna to understand that he is way too more powerful than the people he is going to face in the battle.
SPEAKER_01,80.026, Every young man and lady needs to understand that they are way more powerful than what they are going through at the moment.
SPEAKER_01,87.729,Their confusions are smaller than them.
SPEAKER_01,89.97,Their challenges are smaller than them.
SPEAKER_01,92.03,Their problems are smaller than them.
SPEAKER_01,93.971,Their heart breaks as painful as they are but are still smaller than them and they have the capacity to overcome those pains that they are going through.
SPEAKER_01,102.834, so I think that's precisely where books like the Gita help a lot because they build in you that sense of confidence and strength and strength fortitude that I have the power as a spiritual being to overcome everything that's going on
SPEAKER_01,120.971, going on in my life and I have the power to be able to make a difference and that impact because I am a spiritual being.
SPEAKER_00,129.095,Can you reference like three big lessons from the Bhagavad Gita that stayed with you specifically?
SPEAKER_01,135.258,One of the lessons that stayed with me from the Gita is a particular text from the second chapter of the Gita which talks about the summer and the winter season.
SPEAKER_01,147.624, And this particular text says that the summer and the winter season keeps coming and going every year.
SPEAKER_01,152.766,Seasons change.
SPEAKER_01,154.286,"And just because the seasons change, we never stop performing our duties."
SPEAKER_01,160.307,"Let's say for example, it's Chicago and the temperatures are minus 27 degrees Celsius."
SPEAKER_01,166.289, People don't stop their work still.
SPEAKER_01,168.391,"Let's say it's Delhi, it's 43 degrees Celsius."
SPEAKER_01,171.033,People are still on and going on with their regular life with a few adjustments here and there obviously.
SPEAKER_01,176.036,So this text of the Gita chapter 2 tells us that we have to learn to tolerate the ups and downs and not be distracted from what our main purpose is.
SPEAKER_01,187.805," Like when we talk about tolerating failures and pains, we can understand."
SPEAKER_01,192.832,But we also have to learn to tolerate our success and the good times.
SPEAKER_01,197.378,"Because both distract us, you know."
SPEAKER_01,200.903,Usually we only look at the negatives as distractions.
SPEAKER_01,203.953, But even the positives distract us from what we are meant to be doing.
SPEAKER_01,207.478,That's something that really kind of stayed with me.
SPEAKER_01,210.902,The second thing that I really kind of resonate with in the Gita is a verse from the 6th chapter which talks about the mind.
SPEAKER_01,221.295," Being a friend or an enemy to you, it depends on how you deal with the mind."
SPEAKER_01,229.059,"If you befriend your mind, the mind will become your friend and will empower you to do what you want to do."
SPEAKER_01,236.383,"But if you don't deal with it rightly, then the mind will become your enemy"
SPEAKER_01,241.351, and will lead to your downfall.
SPEAKER_01,244.153,I'll give you an example.
SPEAKER_01,245.614,You want to get up early in the morning to go for a jog or for a workout because you know you want to be fit.
SPEAKER_01,250.378,You know your days are busy.
SPEAKER_01,252.392," and you decide, this is going to be my plan for the year 2020."
SPEAKER_01,258.014,"You set up the alarm clock to wake up early in the morning, like 5, 6, whatever."
